gid_nba,game_date,xid_possession,xid_chance,team_nba_off,team_nba_def,period,gameClock_start,gameClock_end,startType,outcome,score_margin,ptsScored_team,shot_fga,shot_fg,shot_fga3,shot_fg3,shot_qSP,shot_m_region,fouls_def,fouls_def_shooting,fta,fta_shooting,team_nba_winner
0022101142,2022-03-30,d8d49b51-569b-50a1-b94c-4e2b3e322488,7017dee0-2b75-5b2c-9bea-12b889fb1593,HOU,SAC,4,9.4,0,SLOB,FGX3,-3,0,1,0,1,0,43.6549765105,Corner,null,null,null,null,SAC
0022100500,2021-12-26,e21fdb4f-0773-5256-8fcc-b6e11a6f1c93,f37908ef-de6b-52ac-b74f-2b4fe032c125,LAC,DEN,4,12.7,0.36,FTLINE,FGX3,-3,0,1,0,1,0,17.2291627107,ATB,null,null,null,null,DEN
0022100268,2021-11-24,5a773801-7051-5b20-b8f2-74d253aa2b7d,9d6411c0-3712-5296-9568-a9a327b47c03,IND,LAL,4,22.64,7.22,FTM,FGM3,-3,3,1,1,1,1,34.0139320056,Corner,null,null,null,null,LAL
0022100968,2022-03-07,e26f1715-ba63-5f85-bdcf-12b0db460468,87395be9-c9bd-5945-b631-960b7dcd82f1,ATL,DET,5,2.16,0,FGORB,FGX3,-3,0,1,0,1,0,53.2758602986,ATB,null,null,null,null,DET
0022101014,2022-03-13,9a0c070f-eff6-52b1-bbef-eeccf4b2ad03,04f3b5cb-bb0f-5138-b51e-de84e693c949,BOS,DAL,4,9,4.98,SLOB,FGX3,-3,0,1,0,1,0,31.6671147101,ATB,null,null,null,null,DAL
0022101145,2022-03-30,f8659a48-3ce9-5f8f-9e66-483b2f7dcacb,aa45b075-125b-5818-8029-1d6e0cfd8764,GSW,PHX,4,13.1,12.48,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,PHX
0022100853,2022-02-12,75a5fdab-c60a-5fa6-aaee-1c353293f0d6,6eb7d602-fc86-5921-ab79-66ef8f0f15b7,DAL,LAC,4,21.22,8.06,FGDRB,FGM,-3,2,1,1,0,0,65.5586663799,NRA,null,null,null,null,LAC
0022100489,2021-12-25,2093067e-95bc-589f-b2bf-ee8c990aabaf,53f431cd-c5a1-5d3f-8b47-4c7b8365c770,BOS,MIL,4,17.8,7.34,FTM,FGX,-3,0,1,0,0,0,67.4293700371,RA,null,null,null,null,MIL
0022101014,2022-03-13,9a0c070f-eff6-52b1-bbef-eeccf4b2ad03,ee73f659-91eb-5ee6-b1aa-d2c323468452,BOS,DAL,4,3.5,0,SLOB,FGX3,-3,0,1,0,1,0,30.2803941071,ATB,null,null,null,null,DAL
0022101051,2022-03-18,dfaa85ce-a45b-5f5e-b1e4-c304a44765fe,faa7d9fc-5e60-56bc-aae3-32f22a9f1d65,LAL,TOR,4,8.68,0.44,TO,FGM3,-3,3,1,1,1,1,27.8303776467,ATB,null,null,null,null,LAL
0022101079,2022-03-21,c14fd5e3-4b66-53f4-b495-cbe203231d60,8ac485c6-9cbf-5a75-a938-4040a1e5451f,MIN,DAL,4,10.3,6.56,SLOB,FOU_B,-3,0,null,null,null,null,null,null,1,0,2,0,DAL
